Calendar day,sales,complaints
2017-01-01,203.81624818228744,0
2017-01-02,138.45641785302223,0
2017-01-03,140.48513533987878,0
2017-01-04,130.2547757826244,0
2017-01-05,156.3621487077418,0
2017-01-06,218.4046010449191,6
2017-01-07,143.5821553649922,48
2017-01-08,136.0601393873319,7
2017-01-09,146.97138643173435,4
2017-01-10,145.76998006740274,5
2017-01-11,136.64116111524552,3
2017-01-12,132.5724417930447,4
2017-01-13,123.33964828268161,1
2017-01-14,131.90089966478638,4
2017-01-15,121.87690225771446,8
2017-01-16,122.42210694135686,9
2017-01-17,106.37695092893007,18
2017-01-18,104.08587627759547,10
2017-01-19,112.56368211027754,8
2017-01-20,104.87031423166034,6
2017-01-21,105.62578218796855,10
2017-01-22,105.52403171015376,8
2017-01-23,84.86042203526449,8
2017-01-24,97.95424218892276,8
2017-01-25,98.92129752088017,1
2017-01-26,111.36690234500769,6
2017-01-27,114.39940939892753,10
2017-01-28,117.75443629082778,9
2017-01-29,118.23936316047735,5
2017-01-30,127.27776723555039,5
2017-01-31,122.90413753125205,1
2017-02-01,131.29545772274972,9
2017-02-02,136.71474052705574,2
2017-02-03,143.05998607161465,37
2017-02-04,142.72795548623793,8
2017-02-05,144.0430454746699,7
2017-02-06,149.05866017942495,8
2017-02-07,140.02370600532475,1
2017-02-08,141.10094167787884,8
2017-02-09,146.56191113810195,9
2017-02-10,155.54375102279772,4
2017-02-11,138.90980208925725,9
2017-02-12,139.59606148745763,5
2017-02-13,130.05847620121162,4
2017-02-14,117.22387092059593,28
2017-02-15,127.02277293546777,25
2017-02-16,110.2554242692733,2
2017-02-17,114.34412701265867,1
2017-02-18,110.99482688006621,8
2017-02-19,106.36497704070169,8
2017-02-20,100.33094032287059,3
2017-02-21,96.53435601323731,10
2017-02-22,102.99884103831981,6
2017-02-23,92.47644578709401,7
2017-02-24,106.81150441314178,10
2017-02-25,107.66397762227938,54
2017-02-26,116.02657139306177,1
2017-02-27,109.2637004479311,10
2017-02-28,107.64386412011754,3
2017-03-01,122.62352198725875,4
2017-03-02,129.95756904604434,3
2017-03-03,139.72893176140593,2
2017-03-04,137.59696327895253,0
2017-03-05,145.6434970726051,2
2017-03-06,144.16129055901538,49
2017-03-07,151.79639289636202,10
2017-03-08,152.8654412899683,8
2017-03-09,142.79218375609756,51
2017-03-10,145.87406390106622,3
2017-03-11,161.14770810595996,9
2017-03-12,144.56534562779086,1
2017-03-13,141.79328528702246,12
2017-03-14,145.0849679099828,3
2017-03-15,133.53476524648633,2
2017-03-16,132.98302764760092,7
2017-03-17,125.53684142910379,0
2017-03-18,111.88623785584372,0
2017-03-19,110.44877659483215,9
2017-03-20,120.38573803373615,18
2017-03-21,98.11816050705208,10
2017-03-22,100.66623181171487,6
2017-03-23,102.34322574922697,8
2017-03-24,93.33184767055418,9
2017-03-25,108.35690678310446,6
2017-03-26,90.97527657802232,5
2017-03-27,111.34193943156403,7
2017-03-28,107.46336995332283,9
2017-03-29,98.82123383389249,10
2017-03-30,119.41721051967093,0
2017-03-31,131.2815833704528,2
2017-04-01,133.0660750727146,5
2017-04-02,129.26676153236116,1
2017-04-03,126.25459477455675,7
2017-04-04,133.18153968210652,0
2017-04-05,158.3010818136587,6
2017-04-06,142.79279675244325,8
2017-04-07,157.54797653391833,10
2017-04-08,149.23269193923025,10
2017-04-09,148.44176125046846,8
2017-04-10,139.77087854706824,7
2017-04-11,138.06057784234525,5
2017-04-12,134.9782202404879,8
2017-04-13,127.28976634534139,3
2017-04-14,135.85166202610378,7
2017-04-15,129.2586068072747,4
2017-04-16,175.59033538729074,9
2017-04-17,164.89575724945234,10
2017-04-18,110.31917801936582,2
2017-04-19,104.19068967569372,6
2017-04-20,104.15597913033291,58
2017-04-21,106.16595093486374,3
2017-04-22,101.89819394336601,2
2017-04-23,104.54789974470265,10
2017-04-24,95.26936230285611,10
2017-04-25,105.23579130124762,52
2017-04-26,114.04843065980674,6
2017-04-27,104.48972061545442,0
2017-04-28,116.68819100751918,1
2017-04-29,137.34133349060806,2
2017-04-30,145.76214184755887,7
2017-05-01,197.899770522029,9
2017-05-02,137.44784744509136,0
2017-05-03,226.81807583382343,4
2017-05-04,146.50966872926776,0
2017-05-05,141.92109369555445,6
2017-05-06,158.49752414817516,10
2017-05-07,153.19984719645583,2
2017-05-08,137.10243512057878,6
2017-05-09,147.64277025831683,6
2017-05-10,133.15384556573366,13
2017-05-11,158.64846247437987,10
2017-05-12,137.44586257660725,1
2017-05-13,144.01444998305467,9
2017-05-14,136.36393085923245,4
2017-05-15,124.6933046090507,2
2017-05-16,122.58235816471226,6
2017-05-17,106.23660292012381,0
2017-05-18,103.73028703287902,7
2017-05-19,108.58988908327616,1
2017-05-20,104.07388531089313,2
2017-05-21,105.08646087807334,10
2017-05-22,102.83083797224667,1
2017-05-23,101.38612625822195,4
2017-05-24,116.48227445454326,26
2017-05-25,99.73219058418357,8
2017-05-26,98.23299462010596,5
2017-05-27,108.36758275749996,0
2017-05-28,124.62760874454068,9
2017-05-29,128.14177773723927,10
2017-05-30,132.3613572736943,10
2017-05-31,125.4636264301806,8
2017-06-01,131.0268643094801,6
2017-06-02,133.22336077761636,0
2017-06-03,135.43269158511288,4
2017-06-04,226.39734351714108,5
2017-06-05,154.80345808512325,5
2017-06-06,153.67523114805604,20
2017-06-07,154.85414053200012,2
2017-06-08,151.3209947394998,4
2017-06-09,147.63501902918543,8
